"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","arc_length","Points:0","Points:1","Points:2"
0.24748,0.24748,0,-7.1627e-13,-7.1627e-13,-7.1627e-13,4.8995,1.3031,0.74244,0
0.23812,0.23812,0,-6.8087e-13,-6.8087e-13,-6.8087e-13,4.9317,1.3187,0.71437,0
0.22719,0.22719,0,-5.673e-13,-5.673e-13,-5.673e-13,4.9687,1.3358,0.68158,0
0.21334,0.21334,0,-5.1835e-13,-5.1835e-13,-5.1835e-13,5.015,1.3564,0.64002,0
0.20878,0.20878,0,-4.8678e-13,-4.8678e-13,-4.8678e-13,5.0301,1.3628,0.62634,0
0.20075,0.20075,0,-4.6906e-13,-4.6906e-13,-4.6906e-13,5.0564,1.3733,0.60224,0
0.19005,0.19005,0,-3.7362e-13,-3.7362e-13,-3.7362e-13,5.0914,1.3872,0.57015,0
0.18214,0.18214,0,-3.5601e-13,-3.5601e-13,-3.5601e-13,5.1169,1.3966,0.54642,0
0.17203,0.17203,0,-2.7273e-13,-2.7273e-13,-2.7273e-13,5.1494,1.4081,0.51608,0
0.16258,0.16258,0,-2.5173e-13,-2.5173e-13,-2.5173e-13,5.1794,1.4179,0.48773,0
0.15284,0.15284,0,-4.0392e-13,-4.0392e-13,-4.0392e-13,5.2102,1.4276,0.45853,0
0.14379,0.14379,0,-3.8846e-13,-3.8846e-13,-3.8846e-13,5.2387,1.4363,0.43137,0
0.13484,0.13484,0,-4.5216e-13,-4.5216e-13,-4.5216e-13,5.2666,1.4439,0.40453,0
0.11613,0.11613,0,-3.5075e-13,-3.5075e-13,-3.5075e-13,5.3247,1.4589,0.3484,0
0.1157,0.1157,0,-3.4999e-13,-3.4999e-13,-3.4999e-13,5.326,1.4593,0.34711,0
0.09664,0.09664,0,-2.7224e-13,-2.7224e-13,-2.7224e-13,5.3845,1.4715,0.28992,0
0.094432,0.094432,0,-2.6863e-13,-2.6863e-13,-2.6863e-13,5.3912,1.4729,0.2833,0
0.089531,0.089531,0,-2.5671e-13,-2.5671e-13,-2.5671e-13,5.4062,1.4755,0.26859,0
0.076659,0.076659,0,-2.1172e-13,-2.1172e-13,-2.1172e-13,5.4453,1.482,0.22998,0
0.067347,0.067347,0,-1.8436e-13,-1.8436e-13,-1.8436e-13,5.4736,1.4861,0.20204,0
0.060765,0.060765,0,-1.7306e-13,-1.7306e-13,-1.7306e-13,5.4935,1.4886,0.1823,0
0.05264,0.05264,0,-1.5777e-13,-1.5777e-13,-1.5777e-13,5.518,1.4913,0.15792,0
