"psi","forces:0","forces:1","forces:2","vort","mu","rho","temperature","pressure","velocity:0","velocity:1","velocity:2","ALE_velocity:0","ALE_velocity:1","ALE_velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.56883,0,0,0,6.2272,0,0,-0.00061803,0,3.1674,0.005053,0,0,0,0,1,0.163,5,0.163,0
0.57189,0,0,0,6.2986,0,0,-0.0006042,0,3.16,0.0055584,0,0,0,0,1,0.164,5,0.164,0
0.57496,0,0,0,6.37,0,0,-0.00059037,0,3.1525,0.0060638,0,0,0,0,1,0.165,5,0.165,0
0.57802,0,0,0,6.4413,0,0,-0.00057654,0,3.1451,0.0065692,0,0,0,0,1,0.166,5,0.166,0
0.58109,0,0,0,6.5127,0,0,-0.0005627,0,3.1377,0.0070747,0,0,0,0,1,0.167,5,0.167,0
0.58415,0,0,0,6.5841,0,0,-0.00054887,0,3.1303,0.0075801,0,0,0,0,1,0.168,5,0.168,0
0.58722,0,0,0,6.6555,0,0,-0.00053504,0,3.1228,0.0080855,0,0,0,0,1,0.169,5,0.169,0
0.59028,0,0,0,6.7269,0,0,-0.00052121,0,3.1154,0.0085909,0,0,0,0,1,0.17,5,0.17,0
0.59334,0,0,0,6.7983,0,0,-0.00050738,0,3.108,0.0090963,0,0,0,0,1,0.171,5,0.171,0
0.59641,0,0,0,6.8697,0,0,-0.00049354,0,3.1005,0.0096018,0,0,0,0,1,0.172,5,0.172,0
0.59947,0,0,0,6.9411,0,0,-0.00047971,0,3.0931,0.010107,0,0,0,0,1,0.173,5,0.173,0
0.60254,0,0,0,7.0125,0,0,-0.00046588,0,3.0857,0.010613,0,0,0,0,1,0.174,5,0.174,0
0.6056,0,0,0,7.0838,0,0,-0.00045205,0,3.0783,0.011118,0,0,0,0,1,0.175,5,0.175,0
0.60867,0,0,0,7.1552,0,0,-0.00043821,0,3.0708,0.011623,0,0,0,0,1,0.176,5,0.176,0
0.61173,0,0,0,7.2266,0,0,-0.00042438,0,3.0634,0.012129,0,0,0,0,1,0.177,5,0.177,0
