"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","Points:0","Points:1","Points:2"
1,0,0,-0.20582,-0.20582,0.043253,0,0.29412,0
1,0,0,0.16785,0.16785,0.062284,0,0.35294,0
1,0,0,-0.057061,-0.057061,0.084775,0,0.41176,0
1,0,0,0.0084586,0.0084586,0.11073,0,0.47059,0
1,0,0,0.029589,0.029589,0.14014,0,0.52941,0
1,0,0,0.039276,0.039276,0.17301,0,0.58824,0
1,0,0,-0.0092578,-0.0092578,0.20934,0,0.64706,0
1,0,0,-0.03655,-0.03655,0.24913,0,0.70588,0
1,0,0,-0.0033469,-0.0033469,0.29239,0,0.76471,0
1,0,0,-0.28796,-0.28796,0.3391,0,0.82353,0
1,0,0,0.55734,0.55734,0.38927,0,0.88235,0
1,0,0,-3.6171,-3.6171,0.44291,0,0.94118,0
1.4859,0,0,1.7808,1.7808,0.21419,9.4967,0.50212,0
1.1832,-0,0,0.0081431,0.0081431,0.14721,0.50333,0.50212,0
1.4815,-0,0,1.7535,1.7535,0.21397,8.9609,0.50284,0
1.2845,-0,0,0.057916,0.057916,0.1623,1.0391,0.50284,0
1.4854,-0,0,1.7129,1.7129,0.21204,8.4217,0.50139,0
1.3531,-0,0,0.21882,0.21882,0.17131,1.5783,0.50139,0
1.3992,-0,0,0.44105,0.44105,0.17924,2.11,0.50172,0
1.4873,-0,0,1.6748,1.6748,0.21121,7.89,0.50172,0
1.431,-0,0,0.65445,0.65445,0.18344,2.6473,0.49865,0
1.4965,0,0,1.6117,1.6117,0.20773,7.3527,0.49865,0
1.4504,-0,0,0.84493,0.84493,0.18851,3.1832,0.49868,0
1.4947,-0,0,1.5567,1.5567,0.20637,6.8168,0.49868,0
1.464,-0,0,1.0093,1.0093,0.19271,3.7192,0.4987,0
1.4922,-0,0,1.4923,1.4923,0.20476,6.2808,0.4987,0
1.4742,-0,0,1.1491,1.1491,0.19621,4.2551,0.49872,0
1.4729,-0,0,1.4436,1.4436,0.20638,5.7479,0.50343,0
1.4659,-0,0,1.2881,1.2881,0.20247,4.788,0.50343,0
1.4394,-0,0,1.498,1.498,0.22158,5.2652,0.52625,0
1.1079,-0,0,2.6144,2.6144,0.34802,9.2314,0.67741,0
1.2203,-0,0,0.47533,0.47533,0.28311,0.76864,0.67741,0
1.7438,-0,0,1.018,1.018,0.095547,9.2391,0.32465,0
1.2397,-0,0,-0.018574,-0.018574,0.0645,0.76089,0.32465,0
1.1022,-0,0,2.6179,2.6179,0.34934,8.689,0.67992,0
1.2334,-0,0,1.2115,1.2115,0.30304,1.311,0.67992,0
1.6159,-0,0,0.4835,0.4835,0.085459,4.5164,0.32212,0
1.106,-0,0,2.6043,2.6043,0.34902,8.1592,0.68045,0
1.223,-0,0,1.6551,1.6551,0.31441,1.8408,0.68045,0
1.2044,-0,0,1.9555,1.9555,0.32242,2.3833,0.68043,0
1.1101,-0,0,2.59,2.59,0.34797,7.6167,0.68043,0
1.6705,-0,0,0.69675,0.69675,0.089384,6.0195,0.32227,0
1.5871,-0,0,0.38622,0.38622,0.082238,3.9903,0.31944,0
1.1876,-0,0,2.1318,2.1318,0.32819,2.9192,0.68043,0
1.1147,-0,0,2.5715,2.5715,0.34702,7.0808,0.68043,0
1.1731,-0,0,2.2558,2.2558,0.33266,3.4551,0.68043,0
1.121,-0,0,2.5489,2.5489,0.34579,6.5449,0.68043,0
1.1602,-0,0,2.3454,2.3454,0.33619,3.9911,0.68043,0
1.1231,-0,0,2.5231,2.5231,0.34489,6.0099,0.68112,0
1.1445,-0,0,2.4147,2.4147,0.33958,4.526,0.68113,0
1.6936,-0,0,0.75603,0.75603,0.088697,6.5443,0.31909,0
1.5611,-0,0,0.2844,0.2844,0.079906,3.4557,0.31909,0
1.7071,-0,0,0.81849,0.81849,0.089693,7.0802,0.31914,0
1.52,-0,0,0.18393,0.18393,0.077453,2.9198,0.31914,0
1.4691,-0,0,0.091057,0.091057,0.074599,2.3839,0.31918,0
1.7175,-0,0,0.87336,0.87336,0.090544,7.6161,0.31918,0
1.7172,0,0,0.95324,0.95324,0.096164,8.1529,0.328,0
1.4055,-0,0,0.025746,0.025746,0.075234,1.8471,0.328,0
1.3311,-0,0,-0.011453,-0.011453,0.067164,1.3178,0.31858,0
1.7336,-0,0,0.95861,0.95861,0.091466,8.6822,0.31858,0
1.6518,-0,0,0.59435,0.59435,0.0824,5.4962,0.31156,0
1.6385,-0,0,0.52946,0.52946,0.081714,5.0329,0.31217,0
